Gene	DPKM	RPKM		Gene	DPKM	RPKM
chbB	76.09621	37.8619		chbA	49.9658508392439	81.1677235548768
chbG	32.56918	38.59103		chbB	163.906669575464	128.704524948618
cheR	14.18518	11.82377		chbC	12.9050873028511	21.1333681257284
cheW	24.23302	11.0628		cheA	8.92519778349853	14.9285415384937
chiA	9.06714	12.82489		cheR	20.3693538264514	32.4203602555212
cho	27.50775	25.25665		cheZ	27.1907188287979	36.0744307370894
chpR	147.1499	130.70491		chiA	13.0200546730324	15.2643549539422
cirA	12.26249	11.52631		cho	79.0000614620478	82.8022979396805
citT	16.68503	13.37256		chpA	104.392938360563	39.3102442437991
clcA	68.71135	70.86424		cirA	17.6084474343119	19.4871531600845
clcB	9.71634	7.87458		citC	16.560919399976	13.5963358771952
cld	336.14978	339.61355		clcA	111.000086358067	101.039401209113
clpA	472.01709	491.33248		cld	268.165346247318	299.262199333848
clpB	498.21734	520.92092		clpA	477.539238455699	502.959621620772
clpP	2368.31169	2264.65702		clpB	660.911936100908	695.49959153629
clpS	532.67349	524.40681		clpP	3400.80072274604	3305.32171965767
clpX	1408.13803	1508.31287		clpS	546.355565251546	434.317964766199
cls	50.15787	45.10983		clpX	1815.7002361442	1839.3666601553
cmk	428.54183	467.15644		cls	72.0246966922982	80.8656082104187
cmoA	16.41592	32.67115		cmk	615.368899809636	697.977364033412
cmoB	113.08743	86.49519		cmoA	70.7177969539299	57.7489015682068
cmr	39.62187	42.65435		cmoB	54.1296717425142	72.7233875351477
coaA	77.05642	69.33416		cmr	28.4477106967958	17.5942981932015
coaD	127.22336	127.31856		coaA	221.299856713875	228.397969600206
coaE	118.00427	133.41657		coaD	219.225170557183	164.383099839259
cobB	14.53981	12.23123		coaE	112.966271462638	105.975578123155
cobC	39.91321	20.01249		cobB	20.8785876721126	19.0608974996096
cobT	45.23497	57.63016		cobC	143.284425200773	147.310345278404
codA	57.07216	88.8974		cobT	16.2389015227543	14.2207601915552
codB	19.38642	23.4432		cobU	32.1209041109425	45.8502312110143
cof	59.65051	89.61157		codA	54.6355565251546	52.8095239449951
copA	39.005	25.74686		codB	13.9190584480751	10.7874623738798
corA	166.95557	154.08324		cof	107.069680369808	112.422141558295
cpdA	250.75908	303.51639		copA	56.0096244138111	41.1703780683421
cpdB	87.95689	94.5034		corA	92.2082736307814	69.4035901967038
cpsG	44.54209	48.66512		cpdA	296.536462589426	254.860754389525
cpxA	444.4484	472.11531		cpdB	108.259343485028	110.230642540375
cpxP	243.78128	193.0702		cpsG	89.5449274340061	66.6819847144064
cpxR	401.87292	392.10878		cpxA	370.161860038329	382.088228579086
creA	77.30027	92.78216		cpxP	280.048122069056	314.14255342914
creB	106.20384	119.39396		cpxR	501.802965510003	494.259914949582
creC	17.14167	20.53089		creA	185.000143930112	252.976523230407
crl	486.10715	476.79324		creB	152.504466474562	138.559667779458
crp	1987.33734	1691.44058		creC	49.2295119847709	23.4148558859271
crr	910.02118	961.95052		creD	12.9623160713781	4.3419039431866
csdA	182.29018	151.0092		crl	567.149694973806	603.448407471801
csdE	55.01551	26.80873		crp	1773.19569234246	1783.44508074358
csdL	105.94064	115.74701		crr	1169.20090963831	1167.69171478776
csgA	26.78386	26.92755		csdA	159.965298582356	122.606300367939
csgC	36.677	21.54105		csdE	79.0000614620478	47.5626776677016
csgG	14.64442	0.41314		csdL	108.661794576051	86.4030128515906
csiE	28.60291	25.43079		csgA	38.4605562381022	34.0175553003255
csiR	36.84296	41.48171		csiD	53.7975878667933	50.2525022719989
cspA	8601.01557	7168.4649		csiE	54.7635086481643	40.374303466563
cspC	5874.08407	6118.45071		cspA	5928.34264041959	6528.04998055328
cspD	217.12786	247.38912		cspC	6764.66240576449	7640.08309754135
cspE	116.3185	103.96548		cspD	467.680363855323	492.152068709343
csrA	1904.24635	2227.36436		cspE	250.543052065352	208.618552010115
csrB	430.28387	370.5387		csrA	2734.42148221862	2605.35795064285
csrC	4935.22763	5506.10062		csrB	190.113969046879	236.827684360827
csrD	44.04642	36.11688		csrC	5511.94714543774	6140.2340311178
cstA	28.99678	25.61241		csrD	45.1777785795327	54.5378242091283
cueO	47.24736	32.41447		cstA	108.259343485028	80.0555871809218
cueR	119.73963	128.13621		cueO	45.2302092703407	32.7765142055265
cusA	19.42341	23.43314		cueR	42.9853275602319	0.28232391556764
